Reported_Epoch,Loss_DV,Loss_DS,Loss_adv_vocal,Loss_adv_speech,Loss_Cycle_Vocal,Loss_Cycle_Speech,Loss_Identity_Vocal,Loss_Identity_Speech,Grad_Norm_DV,Grad_Norm_DS,Grad_Norm_GV,Grad_Norm_GS,num_DV_updates,num_DS_updates,Global_Epoch
44,0.5874,0.5917,0.1483,0.1346,3.9595,3.799,5.5482,6.6546,0.0,0.0,0.0067,0.0065,0.0,0.0,44
45,0.588,0.5911,0.1483,0.1347,3.9736,3.7914,5.5688,6.6484,0.0,0.0,0.0071,0.0073,0.0,0.0,45
46,0.5891,0.5918,0.1476,0.1345,4.0198,3.8394,5.5531,6.6423,0.0,0.0,0.0076,0.0077,0.0,0.0,46
47,0.589,0.5915,0.148,0.1343,3.885,3.7521,5.465,6.6056,0.0,0.0,0.0065,0.006,0.0,0.0,47
48,0.5891,0.5927,0.1478,0.1339,3.8037,3.6801,5.4778,6.5853,0.0,0.0,0.0065,0.0064,0.0,0.0,48
49,0.5896,0.5928,0.1477,0.1342,3.8065,3.6914,5.4698,6.6176,0.0,0.0,0.0074,0.0076,0.0,0.0,49
50,0.5892,0.5928,0.1481,0.1341,3.7373,3.6456,5.4543,6.6275,0.0,0.0,0.0065,0.0064,0.0,0.0,50
1,0.589,0.5934,0.1476,0.1339,3.7535,3.6534,5.4829,6.6525,0.0,0.0,0.007,0.0071,0.0,0.0,51
2,0.5889,0.5926,0.1477,0.1339,3.7448,3.6182,5.4945,6.6166,0.0,0.0,0.0067,0.0065,0.0,0.0,52
3,0.5907,0.5929,0.1471,0.1337,3.7025,3.5971,5.5157,6.6207,0.0,0.0,0.0066,0.0064,0.0,0.0,53
4,0.5903,0.5929,0.1472,0.1339,3.6295,3.5524,5.494,6.6233,0.0,0.0,0.0063,0.0058,0.0,0.0,54
5,0.5904,0.5928,0.1473,0.1335,3.5754,3.5219,5.4671,6.6303,0.0,0.0,0.0062,0.0061,0.0,0.0,55
6,0.5909,0.593,0.1471,0.1334,3.5814,3.5424,5.4855,6.6278,0.0,0.0,0.0069,0.0068,0.0,0.0,56
7,0.5907,0.5928,0.1467,0.1339,3.5607,3.5154,5.4959,6.5825,0.0,0.0,0.0065,0.006,0.0,0.0,57
8,0.5907,0.5925,0.1468,0.1339,3.5594,3.5204,5.4865,6.5738,0.0,0.0,0.0075,0.0076,0.0,0.0,58
9,0.5908,0.5936,0.1466,0.1338,3.555,3.516,5.51,6.5752,0.0,0.0,0.0069,0.0068,0.0,0.0,59
10,0.5907,0.5933,0.1464,0.1337,3.543,3.5128,5.5152,6.5454,0.0,0.0,0.0066,0.0063,0.0,0.0,60
11,0.5922,0.5931,0.1464,0.1338,3.479,3.4916,5.5072,6.5566,0.0,0.0,0.0067,0.0066,0.0,0.0,61
12,0.5931,0.594,0.146,0.134,3.4078,3.4462,5.4696,6.5189,0.0,0.0,0.0061,0.0058,0.0,0.0,62
13,0.5935,0.5931,0.1455,0.1333,3.3805,3.4386,5.4704,6.5165,0.0,0.0,0.0075,0.0071,0.0,0.0,63
14,0.5935,0.5938,0.1457,0.1335,3.3449,3.4198,5.4747,6.5189,0.0,0.0,0.0076,0.0073,0.0,0.0,64
15,0.5933,0.5939,0.1454,0.1333,3.359,3.4246,5.4773,6.5131,0.0,0.0,0.0082,0.0084,0.0,0.0,65
16,0.5936,0.5944,0.1454,0.1333,3.3093,3.4077,5.4897,6.5221,0.0,0.0,0.0079,0.0077,0.0,0.0,66
17,0.5937,0.5941,0.1452,0.1332,3.2562,3.3748,5.4608,6.5103,0.0,0.0,0.0069,0.0066,0.0,0.0,67
18,0.5943,0.5948,0.1449,0.133,3.2353,3.3672,5.4691,6.4954,0.0,0.0,0.0073,0.0073,0.0,0.0,68
19,0.5958,0.5953,0.1447,0.1332,3.33,3.4397,5.5233,6.499,0.0,0.0,0.0076,0.0076,0.0,0.0,69
20,0.5943,0.5945,0.1452,0.1334,3.5134,3.5787,5.509,6.5134,0.0,0.0,0.0081,0.0078,0.0,0.0,70
21,0.594,0.5946,0.1454,0.1331,3.2838,3.3816,5.457,6.5029,0.0,0.0,0.0065,0.0064,0.0,0.0,71
22,0.595,0.5949,0.144,0.133,3.2456,3.3779,5.4818,6.5155,0.0,0.0,0.0071,0.0071,0.0,0.0,72
23,0.5963,0.5946,0.1439,0.133,3.1659,3.3153,5.4756,6.4865,0.0,0.0,0.006,0.0058,0.0,0.0,73
24,0.597,0.5947,0.1434,0.1327,3.1604,3.2917,5.4903,6.4555,0.0,0.0,0.0063,0.006,0.0,0.0,74
25,0.5978,0.5954,0.1433,0.1327,3.1557,3.2854,5.4977,6.4431,0.0,0.0,0.0063,0.0059,0.0,0.0,75
26,0.5974,0.5955,0.1427,0.1326,3.1446,3.2851,5.4967,6.4224,0.0,0.0,0.0062,0.0061,0.0,0.0,76
27,0.598,0.595,0.1426,0.1328,3.1097,3.2763,5.4756,6.3985,0.0,0.0,0.0066,0.0064,0.0,0.0,77
28,0.5986,0.5957,0.1421,0.1327,3.1069,3.2583,5.4818,6.3868,0.0,0.0,0.007,0.0068,0.0,0.0,78
29,0.5992,0.5958,0.142,0.132,3.0833,3.2363,5.4864,6.3664,0.0,0.0,0.0069,0.0067,0.0,0.0,79
30,0.5996,0.5958,0.1416,0.1325,2.9882,3.1831,5.4445,6.3315,0.0,0.0,0.0059,0.0054,0.0,0.0,80
31,0.6007,0.5963,0.1414,0.1325,3.0131,3.205,5.4527,6.3394,0.0,0.0,0.0069,0.0067,0.0,0.0,81
